OpenDate,Serial_No,Exchange,Product Code,L-Lots,BidPrice,S-Lots,AskPrice,Previous_SP,SP,Float_P/L,MTM_P/L,H/S,Margin,Contract Size,Account Code,Expiry Year
12/6/2017,00002515,CZCE,ZC709,1,526.8,0,0.0,518.8,518.0,-880.0,-80.0,Spec,4144.0,100,99918813.0,2017.0
12/6/2017,00002519,CZCE,ZC709,1,526.8,0,0.0,518.8,518.0,-880.0,-80.0,Spec,4144.0,100,99918813.0,2017.0
12/6/2017,00002523,CZCE,ZC709,1,526.8,0,0.0,518.8,518.0,-880.0,-80.0,Spec,4144.0,100,99918813.0,2017.0
12/6/2017,00002527,CZCE,ZC709,1,526.8,0,0.0,518.8,518.0,-880.0,-80.0,Spec,4144.0,100,99918813.0,2017.0
12/6/2017,00002531,CZCE,ZC709,1,526.8,0,0.0,518.8,518.0,-880.0,-80.0,Spec,4144.0,100,99918813.0,2017.0
12/6/2017,00002535,CZCE,ZC709,5,526.8,0,0.0,518.8,518.0,-4400.0,-400.0,Spec,20720.0,100,99918813.0,2017.0
12/6/2017,00002539,CZCE,ZC709,1,526.8,0,0.0,518.8,518.0,-880.0,-80.0,Spec,4144.0,100,99918813.0,2017.0
12/6/2017,00002543,CZCE,ZC709,1,526.8,0,0.0,518.8,518.0,-880.0,-80.0,Spec,4144.0,100,99918813.0,2017.0
12/6/2017,00002547,CZCE,ZC709,1,526.8,0,0.0,518.8,518.0,-880.0,-80.0,Spec,4144.0,100,99918813.0,2017.0
12/6/2017,00002551,CZCE,ZC709,1,526.8,0,0.0,518.8,518.0,-880.0,-80.0,Spec,4144.0,100,99918813.0,2017.0
12/6/2017,00002555,CZCE,ZC709,1,526.8,0,0.0,518.8,518.0,-880.0,-80.0,Spec,4144.0,100,99918813.0,2017.0
12/6/2017,01568619,CZCE,ZC709,1,504.8,0,0.0,518.8,518.0,1320.0,-80.0,Spec,4144.0,100,99918813.0,2017.0
12/6/2017,01568623,CZCE,ZC709,1,504.8,0,0.0,518.8,518.0,1320.0,-80.0,Spec,4144.0,100,99918813.0,2017.0
12/6/2017,01568627,CZCE,ZC709,1,504.8,0,0.0,518.8,518.0,1320.0,-80.0,Spec,4144.0,100,99918813.0,2017.0
12/6/2017,01568631,CZCE,ZC709,1,504.8,0,0.0,518.8,518.0,1320.0,-80.0,Spec,4144.0,100,99918813.0,2017.0
12/6/2017,01568635,CZCE,ZC709,1,504.8,0,0.0,518.8,518.0,1320.0,-80.0,Spec,4144.0,100,99918813.0,2017.0
12/6/2017,01568639,CZCE,ZC709,1,504.8,0,0.0,518.8,518.0,1320.0,-80.0,Spec,4144.0,100,99918813.0,2017.0
12/6/2017,01568643,CZCE,ZC709,1,504.8,0,0.0,518.8,518.0,1320.0,-80.0,Spec,4144.0,100,99918813.0,2017.0
12/6/2017,01568647,CZCE,ZC709,1,504.8,0,0.0,518.8,518.0,1320.0,-80.0,Spec,4144.0,100,99918813.0,2017.0
12/6/2017,01568651,CZCE,ZC709,1,504.8,0,0.0,518.8,518.0,1320.0,-80.0,Spec,4144.0,100,99918813.0,2017.0
12/6/2017,01568655,CZCE,ZC709,1,504.8,0,0.0,518.8,518.0,1320.0,-80.0,Spec,4144.0,100,99918813.0,2017.0
12/6/2017,01568659,CZCE,ZC709,1,504.8,0,0.0,518.8,518.0,1320.0,-80.0,Spec,4144.0,100,99918813.0,2017.0
12/6/2017,01568663,CZCE,ZC709,1,504.8,0,0.0,518.8,518.0,1320.0,-80.0,Spec,4144.0,100,99918813.0,2017.0
12/6/2017,01568667,CZCE,ZC709,3,504.8,0,0.0,518.8,518.0,3960.0,-240.0,Spec,12432.0,100,99918813.0,2017.0
12/6/2017,01568667,CZCE,ZC709,5,504.8,0,0.0,518.8,518.0,6600.0,-400.0,Spec,0.0,100,99918813.0,2017.0
12/6/2017,01568670,CZCE,ZC801,0,0.0,5,512.6,530.4,532.6,-10000.0,-1100.0,Spec,21304.0,100,99918813.0,2018.0
12/6/2017,Sum_,N/A,N/A,35,N/A,5,N/A,N/A,N/A,3200.0,-3900.0,N/A,145624.0,100,N/A,N/A
