OpenDate,Serial_No,Exchange,Product Code,L-Lots,BidPrice,S-Lots,AskPrice,Previous_SP,SP,Float_P/L,MTM_P/L,H/S,Margin,Contract Size,Account Code,Expiry Year
12/6/2017,10139721,DCE,m1709,0,0.0,1,2702.0,2693.0,2679.0,230.0,140.0,Spec,1875.3,10,99918803.0,2017.0
12/6/2017,10139722,DCE,m1709,0,0.0,1,2702.0,2693.0,2679.0,230.0,140.0,Spec,1875.3,10,99918803.0,2017.0
12/6/2017,10139723,DCE,m1709,0,0.0,5,2702.0,2693.0,2679.0,1150.0,700.0,Spec,9376.5,10,99918803.0,2017.0
12/6/2017,10139724,DCE,m1709,0,0.0,1,2702.0,2693.0,2679.0,230.0,140.0,Spec,1875.3,10,99918803.0,2017.0
12/6/2017,10139725,DCE,m1709,0,0.0,1,2702.0,2693.0,2679.0,230.0,140.0,Spec,1875.3,10,99918803.0,2017.0
12/6/2017,10139726,DCE,m1709,0,0.0,5,2702.0,2693.0,2679.0,1150.0,700.0,Spec,9376.5,10,99918803.0,2017.0
12/6/2017,10139727,DCE,m1709,0,0.0,40,2702.0,2693.0,2679.0,9200.0,5600.0,Spec,75012.0,10,99918803.0,2017.0
12/6/2017,10139728,DCE,m1709,0,0.0,10,2702.0,2693.0,2679.0,2300.0,1400.0,Spec,18753.0,10,99918803.0,2017.0
12/6/2017,10139729,DCE,m1709,0,0.0,17,2702.0,2693.0,2679.0,3910.0,2380.0,Spec,31880.1,10,99918803.0,2017.0
12/6/2017,10139730,DCE,m1709,0,0.0,1,2702.0,2693.0,2679.0,230.0,140.0,Spec,1875.3,10,99918803.0,2017.0
12/6/2017,10139731,DCE,m1709,0,0.0,9,2701.0,2693.0,2679.0,1980.0,1260.0,Spec,16877.7,10,99918803.0,2017.0
12/6/2017,10139732,DCE,m1709,0,0.0,24,2701.0,2693.0,2679.0,5280.0,3360.0,Spec,45007.2,10,99918803.0,2017.0
12/6/2017,10139733,DCE,m1709,0,0.0,12,2701.0,2693.0,2679.0,2640.0,1680.0,Spec,22503.6,10,99918803.0,2017.0
12/6/2017,10139734,DCE,m1709,0,0.0,10,2701.0,2693.0,2679.0,2200.0,1400.0,Spec,18753.0,10,99918803.0,2017.0
12/6/2017,10139735,DCE,m1709,0,0.0,1,2701.0,2693.0,2679.0,220.0,140.0,Spec,1875.3,10,99918803.0,2017.0
12/6/2017,10139736,DCE,m1709,0,0.0,1,2701.0,2693.0,2679.0,220.0,140.0,Spec,1875.3,10,99918803.0,2017.0
12/6/2017,10139737,DCE,m1709,0,0.0,1,2701.0,2693.0,2679.0,220.0,140.0,Spec,1875.3,10,99918803.0,2017.0
12/6/2017,10139738,DCE,m1709,0,0.0,20,2701.0,2693.0,2679.0,4400.0,2800.0,Spec,37506.0,10,99918803.0,2017.0
12/6/2017,10139739,DCE,m1709,0,0.0,20,2701.0,2693.0,2679.0,4400.0,2800.0,Spec,37506.0,10,99918803.0,2017.0
12/6/2017,10139740,DCE,m1709,0,0.0,1,2701.0,2693.0,2679.0,220.0,140.0,Spec,1875.3,10,99918803.0,2017.0
