OpenDate,Serial_No,Exchange,Product Code,L-Lots,BidPrice,S-Lots,AskPrice,Previous_SP,SP,Float_P/L,MTM_P/L,H/S,Margin,Contract Size,Account Code,Expiry Year
12/6/2017,10519908,DCE,c1709,0,0.0,100,1644.0,1614.0,1619.0,25000.0,-5000.0,Spec,113330.0,10,99918807.0,2017.0
12/6/2017,10519904,DCE,c1801,4,1689.0,0,0.0,1664.0,1667.0,-880.0,120.0,Spec,4667.6,10,99918807.0,2018.0
12/6/2017,10519905,DCE,c1801,2,1689.0,0,0.0,1664.0,1667.0,-440.0,60.0,Spec,2333.8,10,99918807.0,2018.0
12/6/2017,10519906,DCE,c1801,9,1689.0,0,0.0,1664.0,1667.0,-1980.0,270.0,Spec,10502.1,10,99918807.0,2018.0
12/6/2017,10519907,DCE,c1801,85,1689.0,0,0.0,1664.0,1667.0,-18700.0,2550.0,Spec,99186.5,10,99918807.0,2018.0
12/6/2017,10524954,DCE,c1709,0,0.0,57,1640.0,1614.0,1619.0,11970.0,-2850.0,Spec,64598.1,10,99918807.0,2017.0
12/6/2017,10526745,DCE,c1709,0,0.0,1,1641.0,1614.0,1619.0,220.0,-50.0,Spec,1133.3,10,99918807.0,2017.0
12/6/2017,10542131,DCE,c1709,0,0.0,26,1640.0,1614.0,1619.0,5460.0,-1300.0,Spec,29465.8,10,99918807.0,2017.0
12/6/2017,10542132,DCE,c1709,0,0.0,1,1640.0,1614.0,1619.0,210.0,-50.0,Spec,1133.3,10,99918807.0,2017.0
12/6/2017,10542133,DCE,c1709,0,0.0,5,1640.0,1614.0,1619.0,1050.0,-250.0,Spec,5666.5,10,99918807.0,2017.0
12/6/2017,10542134,DCE,c1709,0,0.0,1,1640.0,1614.0,1619.0,210.0,-50.0,Spec,1133.3,10,99918807.0,2017.0
12/6/2017,10542135,DCE,c1709,0,0.0,1,1640.0,1614.0,1619.0,210.0,-50.0,Spec,1133.3,10,99918807.0,2017.0
12/6/2017,10542136,DCE,c1709,0,0.0,1,1640.0,1614.0,1619.0,210.0,-50.0,Spec,1133.3,10,99918807.0,2017.0
12/6/2017,10542137,DCE,c1709,0,0.0,1,1640.0,1614.0,1619.0,210.0,-50.0,Spec,1133.3,10,99918807.0,2017.0
12/6/2017,10542138,DCE,c1709,0,0.0,1,1640.0,1614.0,1619.0,210.0,-50.0,Spec,1133.3,10,99918807.0,2017.0
12/6/2017,10542139,DCE,c1709,0,0.0,1,1640.0,1614.0,1619.0,210.0,-50.0,Spec,1133.3,10,99918807.0,2017.0
12/6/2017,10542140,DCE,c1709,0,0.0,1,1640.0,1614.0,1619.0,210.0,-50.0,Spec,1133.3,10,99918807.0,2017.0
12/6/2017,10542141,DCE,c1709,0,0.0,1,1640.0,1614.0,1619.0,210.0,-50.0,Spec,1133.3,10,99918807.0,2017.0
12/6/2017,10542142,DCE,c1709,0,0.0,2,1640.0,1614.0,1619.0,420.0,-100.0,Spec,2266.6,10,99918807.0,2017.0
12/6/2017,10542143,DCE,c1709,0,0.0,1,1640.0,1614.0,1619.0,210.0,-50.0,Spec,1133.3,10,99918807.0,2017.0
12/6/2017,10542144,DCE,c1709,0,0.0,20,1640.0,1614.0,1619.0,4200.0,-1000.0,Spec,22666.0,10,99918807.0,2017.0
