OpenDate,Serial_No,Exchange,Product Code,L-Lots,BidPrice,S-Lots,AskPrice,Previous_SP,SP,Float_P/L,MTM_P/L,H/S,Margin,Contract Size,Account Code,Expiry Year
12/6/2017,10350175,DCE,c1805,1,1722.0,0,0.0,1764.0,1787.0,650.0,230.0,Spec,1250.9,10,99918807.0,2018.0
12/6/2017,10350176,DCE,c1805,1,1722.0,0,0.0,1764.0,1787.0,650.0,230.0,Spec,1250.9,10,99918807.0,2018.0
12/6/2017,10350177,DCE,c1805,1,1722.0,0,0.0,1764.0,1787.0,650.0,230.0,Spec,1250.9,10,99918807.0,2018.0
12/6/2017,10350570,DCE,c1805,1,1722.0,0,0.0,1764.0,1787.0,650.0,230.0,Spec,1250.9,10,99918807.0,2018.0
12/6/2017,10352308,DCE,c1805,6,1722.0,0,0.0,1764.0,1787.0,3900.0,1380.0,Spec,7505.4,10,99918807.0,2018.0
12/6/2017,10352308,DCE,c1805,4,1722.0,0,0.0,1764.0,1787.0,2600.0,920.0,Spec,5003.6,10,99918807.0,2018.0
12/6/2017,10354187,DCE,c1805,21,1723.0,0,0.0,1764.0,1787.0,13440.0,4830.0,Spec,26268.9,10,99918807.0,2018.0
12/6/2017,10354189,DCE,c1805,15,1723.0,0,0.0,1764.0,1787.0,9600.0,3450.0,Spec,18763.5,10,99918807.0,2018.0
12/6/2017,10367852,DCE,c1805,1,1723.0,0,0.0,1764.0,1787.0,640.0,230.0,Spec,1250.9,10,99918807.0,2018.0
12/6/2017,10370466,DCE,c1805,2,1723.0,0,0.0,1764.0,1787.0,1280.0,460.0,Spec,2501.8,10,99918807.0,2018.0
12/6/2017,10370467,DCE,c1805,2,1723.0,0,0.0,1764.0,1787.0,1280.0,460.0,Spec,2501.8,10,99918807.0,2018.0
12/6/2017,10380122,DCE,c1805,10,1722.0,0,0.0,1764.0,1787.0,6500.0,2300.0,Spec,12509.0,10,99918807.0,2018.0
12/6/2017,10381182,DCE,c1805,1,1722.0,0,0.0,1764.0,1787.0,650.0,230.0,Spec,1250.9,10,99918807.0,2018.0
12/6/2017,10391190,DCE,c1805,1,1720.0,0,0.0,1764.0,1787.0,670.0,230.0,Spec,1250.9,10,99918807.0,2018.0
12/6/2017,10395830,DCE,c1805,3,1723.0,0,0.0,1764.0,1787.0,1920.0,690.0,Spec,3752.7,10,99918807.0,2018.0
12/6/2017,10395831,DCE,c1805,1,1723.0,0,0.0,1764.0,1787.0,640.0,230.0,Spec,1250.9,10,99918807.0,2018.0
12/6/2017,10397911,DCE,c1805,29,1723.0,0,0.0,1764.0,1787.0,18560.0,6670.0,Spec,36276.1,10,99918807.0,2018.0
12/6/2017,10360883,DCE,c1805,1,1724.0,0,0.0,1764.0,1787.0,630.0,230.0,Spec,1250.9,10,99918807.0,2018.0
12/6/2017,10360998,DCE,c1805,1,1724.0,0,0.0,1764.0,1787.0,630.0,230.0,Spec,1250.9,10,99918807.0,2018.0
12/6/2017,10363395,DCE,c1805,1,1725.0,0,0.0,1764.0,1787.0,620.0,230.0,Spec,1250.9,10,99918807.0,2018.0
12/6/2017,10366258,DCE,c1805,1,1725.0,0,0.0,1764.0,1787.0,620.0,230.0,Spec,1250.9,10,99918807.0,2018.0
12/6/2017,10367498,DCE,c1805,2,1725.0,0,0.0,1764.0,1787.0,1240.0,460.0,Spec,2501.8,10,99918807.0,2018.0
12/6/2017,10367798,DCE,c1805,1,1725.0,0,0.0,1764.0,1787.0,620.0,230.0,Spec,1250.9,10,99918807.0,2018.0
12/6/2017,10370211,DCE,c1805,10,1725.0,0,0.0,1764.0,1787.0,6200.0,2300.0,Spec,12509.0,10,99918807.0,2018.0
12/6/2017,10374849,DCE,c1805,1,1724.0,0,0.0,1764.0,1787.0,630.0,230.0,Spec,1250.9,10,99918807.0,2018.0
12/6/2017,10377522,DCE,c1805,3,1725.0,0,0.0,1764.0,1787.0,1860.0,690.0,Spec,3752.7,10,99918807.0,2018.0
12/6/2017,10377756,DCE,c1805,5,1726.0,0,0.0,1764.0,1787.0,3050.0,1150.0,Spec,6254.5,10,99918807.0,2018.0
12/6/2017,10377757,DCE,c1805,1,1726.0,0,0.0,1764.0,1787.0,610.0,230.0,Spec,1250.9,10,99918807.0,2018.0
12/6/2017,10379349,DCE,c1805,9,1726.0,0,0.0,1764.0,1787.0,5490.0,2070.0,Spec,11258.1,10,99918807.0,2018.0
12/6/2017,10380960,DCE,c1805,15,1726.0,0,0.0,1764.0,1787.0,9150.0,3450.0,Spec,18763.5,10,99918807.0,2018.0
12/6/2017,10381103,DCE,c1805,10,1727.0,0,0.0,1764.0,1787.0,6000.0,2300.0,Spec,12509.0,10,99918807.0,2018.0
