OpenDate,Serial_No,Exchange,Product Code,L-Lots,BidPrice,S-Lots,AskPrice,Previous_SP,SP,Float_P/L,MTM_P/L,H/S,Margin,Contract Size,Account Code,Expiry Year
12/6/2017,10348334,DCE,p1709,4,5396.0,0,0.0,5288.0,5252.0,-5760.0,-1440.0,Spec,14705.6,10,99918808.0,2017.0
12/6/2017,10348335,DCE,p1709,1,5396.0,0,0.0,5288.0,5252.0,-1440.0,-360.0,Spec,3676.4,10,99918808.0,2017.0
12/6/2017,10348336,DCE,p1709,13,5398.0,0,0.0,5288.0,5252.0,-18980.0,-4680.0,Spec,47793.2,10,99918808.0,2017.0
12/6/2017,10348337,DCE,p1709,1,5398.0,0,0.0,5288.0,5252.0,-1460.0,-360.0,Spec,3676.4,10,99918808.0,2017.0
12/6/2017,10348338,DCE,p1709,18,5398.0,0,0.0,5288.0,5252.0,-26280.0,-6480.0,Spec,66175.2,10,99918808.0,2017.0
12/6/2017,10348339,DCE,p1709,1,5398.0,0,0.0,5288.0,5252.0,-1460.0,-360.0,Spec,3676.4,10,99918808.0,2017.0
12/6/2017,10348340,DCE,p1709,5,5398.0,0,0.0,5288.0,5252.0,-7300.0,-1800.0,Spec,18382.0,10,99918808.0,2017.0
12/6/2017,10348341,DCE,p1709,1,5398.0,0,0.0,5288.0,5252.0,-1460.0,-360.0,Spec,3676.4,10,99918808.0,2017.0
12/6/2017,10348342,DCE,p1709,2,5398.0,0,0.0,5288.0,5252.0,-2920.0,-720.0,Spec,7352.8,10,99918808.0,2017.0
12/6/2017,10348343,DCE,p1709,4,5398.0,0,0.0,5288.0,5252.0,-5840.0,-1440.0,Spec,14705.6,10,99918808.0,2017.0
12/6/2017,10348343,DCE,p1709,6,5398.0,0,0.0,5288.0,5252.0,-8760.0,-2160.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10348344,DCE,p1709,1,5398.0,0,0.0,5288.0,5252.0,-1460.0,-360.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10348345,DCE,p1709,5,5398.0,0,0.0,5288.0,5252.0,-7300.0,-1800.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10348346,DCE,p1709,1,5398.0,0,0.0,5288.0,5252.0,-1460.0,-360.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10348347,DCE,p1709,2,5398.0,0,0.0,5288.0,5252.0,-2920.0,-720.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10348348,DCE,p1709,1,5398.0,0,0.0,5288.0,5252.0,-1460.0,-360.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10348349,DCE,p1709,6,5398.0,0,0.0,5288.0,5252.0,-8760.0,-2160.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10348350,DCE,p1709,1,5398.0,0,0.0,5288.0,5252.0,-1460.0,-360.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10348351,DCE,p1709,1,5398.0,0,0.0,5288.0,5252.0,-1460.0,-360.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10348352,DCE,p1709,1,5398.0,0,0.0,5288.0,5252.0,-1460.0,-360.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10348353,DCE,p1709,1,5398.0,0,0.0,5288.0,5252.0,-1460.0,-360.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10348354,DCE,p1709,1,5398.0,0,0.0,5288.0,5252.0,-1460.0,-360.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10348355,DCE,p1709,1,5398.0,0,0.0,5288.0,5252.0,-1460.0,-360.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10348356,DCE,p1709,1,5398.0,0,0.0,5288.0,5252.0,-1460.0,-360.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10348357,DCE,p1709,1,5398.0,0,0.0,5288.0,5252.0,-1460.0,-360.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10348358,DCE,p1709,20,5398.0,0,0.0,5288.0,5252.0,-29200.0,-7200.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10340964,DCE,p1709,2,5288.0,0,0.0,5288.0,5252.0,-720.0,-720.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10340965,DCE,p1709,2,5288.0,0,0.0,5288.0,5252.0,-720.0,-720.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10340966,DCE,p1709,1,5288.0,0,0.0,5288.0,5252.0,-360.0,-360.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10340967,DCE,p1709,1,5288.0,0,0.0,5288.0,5252.0,-360.0,-360.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10340968,DCE,p1709,1,5288.0,0,0.0,5288.0,5252.0,-360.0,-360.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10340969,DCE,p1709,18,5288.0,0,0.0,5288.0,5252.0,-6480.0,-6480.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10340970,DCE,p1709,5,5288.0,0,0.0,5288.0,5252.0,-1800.0,-1800.0,Spec,0.0,10,99918808.0,2017.0
12/6/2017,10519535,DCE,p1801,0,0.0,10,5004.0,5036.0,4984.0,2000.0,5200.0,Spec,0.0,10,99918808.0,2018.0
