OpenDate,Serial_No,Exchange,Product Code,L-Lots,BidPrice,S-Lots,AskPrice,Previous_SP,SP,Float_P/L,MTM_P/L,H/S,Margin,Contract Size,Account Code,Expiry Year
12/6/2017,10057829,DCE,m1709,0,0.0,1,2721.0,2693.0,2679.0,420.0,140.0,Spec,0.0,10,99918802.0,2017.0
12/6/2017,10057830,DCE,m1709,0,0.0,8,2721.0,2693.0,2679.0,3360.0,1120.0,Spec,0.0,10,99918802.0,2017.0
12/6/2017,10057831,DCE,m1709,0,0.0,1,2721.0,2693.0,2679.0,420.0,140.0,Spec,0.0,10,99918802.0,2017.0
12/6/2017,10057832,DCE,m1709,0,0.0,10,2721.0,2693.0,2679.0,4200.0,1400.0,Spec,0.0,10,99918802.0,2017.0
12/6/2017,10057833,DCE,m1709,0,0.0,2,2721.0,2693.0,2679.0,840.0,280.0,Spec,0.0,10,99918802.0,2017.0
12/6/2017,10057834,DCE,m1709,0,0.0,10,2721.0,2693.0,2679.0,4200.0,1400.0,Spec,0.0,10,99918802.0,2017.0
12/6/2017,10057835,DCE,m1709,0,0.0,1,2721.0,2693.0,2679.0,420.0,140.0,Spec,0.0,10,99918802.0,2017.0
12/6/2017,10057836,DCE,m1709,0,0.0,21,2721.0,2693.0,2679.0,8820.0,2940.0,Spec,0.0,10,99918802.0,2017.0
12/6/2017,10057837,DCE,m1709,0,0.0,6,2721.0,2693.0,2679.0,2520.0,840.0,Spec,0.0,10,99918802.0,2017.0
12/6/2017,10057838,DCE,m1709,0,0.0,37,2721.0,2693.0,2679.0,15540.0,5180.0,Spec,0.0,10,99918802.0,2017.0
12/6/2017,10057839,DCE,m1709,0,0.0,3,2721.0,2693.0,2679.0,1260.0,420.0,Spec,0.0,10,99918802.0,2017.0
12/6/2017,10071380,DCE,m1801,22,2715.0,0,0.0,2729.0,2716.0,220.0,-2860.0,Spec,41826.4,10,99918802.0,2018.0
12/6/2017,10072836,DCE,m1801,7,2714.0,0,0.0,2729.0,2716.0,140.0,-910.0,Spec,13308.4,10,99918802.0,2018.0
12/6/2017,10079876,DCE,m1801,1,2715.0,0,0.0,2729.0,2716.0,10.0,-130.0,Spec,1901.2,10,99918802.0,2018.0
12/6/2017,10079877,DCE,m1801,3,2715.0,0,0.0,2729.0,2716.0,30.0,-390.0,Spec,5703.6,10,99918802.0,2018.0
12/6/2017,10080521,DCE,m1801,1,2715.0,0,0.0,2729.0,2716.0,10.0,-130.0,Spec,1901.2,10,99918802.0,2018.0
12/6/2017,10080773,DCE,m1801,1,2715.0,0,0.0,2729.0,2716.0,10.0,-130.0,Spec,1901.2,10,99918802.0,2018.0
12/6/2017,10083277,DCE,m1801,2,2715.0,0,0.0,2729.0,2716.0,20.0,-260.0,Spec,3802.4,10,99918802.0,2018.0
12/6/2017,10083277,DCE,m1801,13,2715.0,0,0.0,2729.0,2716.0,130.0,-1690.0,Spec,24715.6,10,99918802.0,2018.0
12/6/2017,10318551,DCE,m1801,11,2713.0,0,0.0,2729.0,2716.0,330.0,-1430.0,Spec,20913.2,10,99918802.0,2018.0
12/6/2017,10320014,DCE,m1801,1,2713.0,0,0.0,2729.0,2716.0,30.0,-130.0,Spec,1901.2,10,99918802.0,2018.0
