Positions Details,
OpenDate,Serial_No,Exchange,Product Code,L-Lots,BidPrice,S-Lots,AskPrice,Previous_SP,SP,Float_P/L,MTM_P/L,H/S,Margin,Contract Size,Account Code,Expiry Year,Expiry Month,
26/5/2017,10348334,DCE,p1709,4,5396.000,0,0.000,5288.000,5252.00,-5760.00,-1440.00,Spec,14705.60,10,99918808,2017,09,
26/5/2017,10348335,DCE,p1709,1,5396.000,0,0.000,5288.000,5252.00,-1440.00,-360.00,Spec,3676.40,10,99918808,2017,09,
26/5/2017,10348336,DCE,p1709,13,5398.000,0,0.000,5288.000,5252.00,-18980.00,-4680.00,Spec,47793.20,10,99918808,2017,09,
26/5/2017,10348337,DCE,p1709,1,5398.000,0,0.000,5288.000,5252.00,-1460.00,-360.00,Spec,3676.40,10,99918808,2017,09,
26/5/2017,10348338,DCE,p1709,18,5398.000,0,0.000,5288.000,5252.00,-26280.00,-6480.00,Spec,66175.20,10,99918808,2017,09,
26/5/2017,10348339,DCE,p1709,1,5398.000,0,0.000,5288.000,5252.00,-1460.00,-360.00,Spec,3676.40,10,99918808,2017,09,
26/5/2017,10348340,DCE,p1709,5,5398.000,0,0.000,5288.000,5252.00,-7300.00,-1800.00,Spec,18382.00,10,99918808,2017,09,
26/5/2017,10348341,DCE,p1709,1,5398.000,0,0.000,5288.000,5252.00,-1460.00,-360.00,Spec,3676.40,10,99918808,2017,09,
26/5/2017,10348342,DCE,p1709,2,5398.000,0,0.000,5288.000,5252.00,-2920.00,-720.00,Spec,7352.80,10,99918808,2017,09,
26/5/2017,10348343,DCE,p1709,4,5398.000,0,0.000,5288.000,5252.00,-5840.00,-1440.00,Spec,14705.60,10,99918808,2017,09,
26/5/2017,10348343,DCE,p1709,6,5398.000,0,0.000,5288.000,5252.00,-8760.00,-2160.00,Spec,0.00,10,99918808,2017,09,
26/5/2017,10348344,DCE,p1709,1,5398.000,0,0.000,5288.000,5252.00,-1460.00,-360.00,Spec,0.00,10,99918808,2017,09,
26/5/2017,10348345,DCE,p1709,5,5398.000,0,0.000,5288.000,5252.00,-7300.00,-1800.00,Spec,0.00,10,99918808,2017,09,
26/5/2017,10348346,DCE,p1709,1,5398.000,0,0.000,5288.000,5252.00,-1460.00,-360.00,Spec,0.00,10,99918808,2017,09,
26/5/2017,10348347,DCE,p1709,2,5398.000,0,0.000,5288.000,5252.00,-2920.00,-720.00,Spec,0.00,10,99918808,2017,09,
26/5/2017,10348348,DCE,p1709,1,5398.000,0,0.000,5288.000,5252.00,-1460.00,-360.00,Spec,0.00,10,99918808,2017,09,
26/5/2017,10348349,DCE,p1709,6,5398.000,0,0.000,5288.000,5252.00,-8760.00,-2160.00,Spec,0.00,10,99918808,2017,09,
26/5/2017,10348350,DCE,p1709,1,5398.000,0,0.000,5288.000,5252.00,-1460.00,-360.00,Spec,0.00,10,99918808,2017,09,
26/5/2017,10348351,DCE,p1709,1,5398.000,0,0.000,5288.000,5252.00,-1460.00,-360.00,Spec,0.00,10,99918808,2017,09,
26/5/2017,10348352,DCE,p1709,1,5398.000,0,0.000,5288.000,5252.00,-1460.00,-360.00,Spec,0.00,10,99918808,2017,09,
26/5/2017,10348353,DCE,p1709,1,5398.000,0,0.000,5288.000,5252.00,-1460.00,-360.00,Spec,0.00,10,99918808,2017,09,
26/5/2017,10348354,DCE,p1709,1,5398.000,0,0.000,5288.000,5252.00,-1460.00,-360.00,Spec,0.00,10,99918808,2017,09,
26/5/2017,10348355,DCE,p1709,1,5398.000,0,0.000,5288.000,5252.00,-1460.00,-360.00,Spec,0.00,10,99918808,2017,09,
26/5/2017,10348356,DCE,p1709,1,5398.000,0,0.000,5288.000,5252.00,-1460.00,-360.00,Spec,0.00,10,99918808,2017,09,
26/5/2017,10348357,DCE,p1709,1,5398.000,0,0.000,5288.000,5252.00,-1460.00,-360.00,Spec,0.00,10,99918808,2017,09,
26/5/2017,10348358,DCE,p1709,20,5398.000,0,0.000,5288.000,5252.00,-29200.00,-7200.00,Spec,0.00,10,99918808,2017,09,
31/5/2017,10340964,DCE,p1709,2,5288.000,0,0.000,5288.000,5252.00,-720.00,-720.00,Spec,0.00,10,99918808,2017,09,
31/5/2017,10340965,DCE,p1709,2,5288.000,0,0.000,5288.000,5252.00,-720.00,-720.00,Spec,0.00,10,99918808,2017,09,
31/5/2017,10340966,DCE,p1709,1,5288.000,0,0.000,5288.000,5252.00,-360.00,-360.00,Spec,0.00,10,99918808,2017,09,
31/5/2017,10340967,DCE,p1709,1,5288.000,0,0.000,5288.000,5252.00,-360.00,-360.00,Spec,0.00,10,99918808,2017,09,
31/5/2017,10340968,DCE,p1709,1,5288.000,0,0.000,5288.000,5252.00,-360.00,-360.00,Spec,0.00,10,99918808,2017,09,
31/5/2017,10340969,DCE,p1709,18,5288.000,0,0.000,5288.000,5252.00,-6480.00,-6480.00,Spec,0.00,10,99918808,2017,09,
