Order Details,
BTGDate,Serial_No.,Exchange,Product Code,Buy_Sell,H/S,Trade_Price,Lots,Value,Open_Close,Commission,Account Code,Contract Size,
1/6/2017,10185866,DCE,c1709,Sell,Spec,1608.000,24,385920.00,open,31.68,99918807,10,
1/6/2017,10185867,DCE,c1709,Sell,Spec,1608.000,15,241200.00,open,19.80,99918807,10,
1/6/2017,10185868,DCE,c1709,Sell,Spec,1608.000,11,176880.00,open,14.52,99918807,10,
1/6/2017,10185869,DCE,c1709,Sell,Spec,1608.000,50,804000.00,open,66.00,99918807,10,
1/6/2017,10483411,DCE,c1709,Sell,Spec,1623.000,100,1623000.00,open,132.00,99918807,10,
1/6/2017,10501620,DCE,c1709,Sell,Spec,1622.000,100,1622000.00,open,132.00,99918807,10,
Sum_,N/A,N/A,N/A,N/A,N/A,N/A,300,4853000.00,close,396.00,N/A,10,
