Positions Details,
OpenDate,Serial_No,Exchange,Product Code,L-Lots,BidPrice,S-Lots,AskPrice,Previous_SP,SP,Float_P/L,MTM_P/L,H/S,Margin,Contract Size,Account Code,Expiry Year,Expiry Month,
12/5/2017,10519908,DCE,c1709,0,0.000,100,1644.000,1614.000,1619.00,25000.00,-5000.00,Spec,113330.00,10,99918807,2017,09,
12/5/2017,10519904,DCE,c1801,4,1689.000,0,0.000,1664.000,1667.00,-880.00,120.00,Spec,4667.60,10,99918807,2018,01,
12/5/2017,10519905,DCE,c1801,2,1689.000,0,0.000,1664.000,1667.00,-440.00,60.00,Spec,2333.80,10,99918807,2018,01,
12/5/2017,10519906,DCE,c1801,9,1689.000,0,0.000,1664.000,1667.00,-1980.00,270.00,Spec,10502.10,10,99918807,2018,01,
12/5/2017,10519907,DCE,c1801,85,1689.000,0,0.000,1664.000,1667.00,-18700.00,2550.00,Spec,99186.50,10,99918807,2018,01,
15/5/2017,10524954,DCE,c1709,0,0.000,57,1640.000,1614.000,1619.00,11970.00,-2850.00,Spec,64598.10,10,99918807,2017,09,
15/5/2017,10526745,DCE,c1709,0,0.000,1,1641.000,1614.000,1619.00,220.00,-50.00,Spec,1133.30,10,99918807,2017,09,
15/5/2017,10542131,DCE,c1709,0,0.000,26,1640.000,1614.000,1619.00,5460.00,-1300.00,Spec,29465.80,10,99918807,2017,09,
15/5/2017,10542132,DCE,c1709,0,0.000,1,1640.000,1614.000,1619.00,210.00,-50.00,Spec,1133.30,10,99918807,2017,09,
15/5/2017,10542133,DCE,c1709,0,0.000,5,1640.000,1614.000,1619.00,1050.00,-250.00,Spec,5666.50,10,99918807,2017,09,
15/5/2017,10542134,DCE,c1709,0,0.000,1,1640.000,1614.000,1619.00,210.00,-50.00,Spec,1133.30,10,99918807,2017,09,
15/5/2017,10542135,DCE,c1709,0,0.000,1,1640.000,1614.000,1619.00,210.00,-50.00,Spec,1133.30,10,99918807,2017,09,
15/5/2017,10542136,DCE,c1709,0,0.000,1,1640.000,1614.000,1619.00,210.00,-50.00,Spec,1133.30,10,99918807,2017,09,
