Positions Details,
OpenDate,Serial_No,Exchange,Product Code,L-Lots,BidPrice,S-Lots,AskPrice,Previous_SP,SP,Float_P/L,MTM_P/L,H/S,Margin,Contract Size,Account Code,Expiry Year,Expiry Month,
26/5/2017,10111393,DCE,m1709,0,0.000,10,2707.000,2635.000,2623.00,8400.00,1200.00,Spec,18361.00,10,99918803,2017,09,
26/5/2017,10111394,DCE,m1709,0,0.000,1,2707.000,2635.000,2623.00,840.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10111396,DCE,m1709,0,0.000,4,2707.000,2635.000,2623.00,3360.00,480.00,Spec,7344.40,10,99918803,2017,09,
26/5/2017,10111405,DCE,m1709,0,0.000,8,2707.000,2635.000,2623.00,6720.00,960.00,Spec,14688.80,10,99918803,2017,09,
26/5/2017,10111407,DCE,m1709,0,0.000,1,2707.000,2635.000,2623.00,840.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10111415,DCE,m1709,0,0.000,1,2707.000,2635.000,2623.00,840.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10111424,DCE,m1709,0,0.000,2,2707.000,2635.000,2623.00,1680.00,240.00,Spec,3672.20,10,99918803,2017,09,
26/5/2017,10111425,DCE,m1709,0,0.000,1,2707.000,2635.000,2623.00,840.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10111427,DCE,m1709,0,0.000,5,2707.000,2635.000,2623.00,4200.00,600.00,Spec,9180.50,10,99918803,2017,09,
26/5/2017,10111462,DCE,m1709,0,0.000,5,2707.000,2635.000,2623.00,4200.00,600.00,Spec,9180.50,10,99918803,2017,09,
26/5/2017,10111472,DCE,m1709,0,0.000,1,2707.000,2635.000,2623.00,840.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10111476,DCE,m1709,0,0.000,5,2707.000,2635.000,2623.00,4200.00,600.00,Spec,9180.50,10,99918803,2017,09,
26/5/2017,10111482,DCE,m1709,0,0.000,1,2707.000,2635.000,2623.00,840.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10111493,DCE,m1709,0,0.000,1,2707.000,2635.000,2623.00,840.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10111612,DCE,m1709,0,0.000,1,2707.000,2635.000,2623.00,840.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10111630,DCE,m1709,0,0.000,61,2707.000,2635.000,2623.00,51240.00,7320.00,Spec,112002.10,10,99918803,2017,09,
26/5/2017,10111634,DCE,m1709,0,0.000,10,2707.000,2635.000,2623.00,8400.00,1200.00,Spec,18361.00,10,99918803,2017,09,
26/5/2017,10111636,DCE,m1709,0,0.000,1,2707.000,2635.000,2623.00,840.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10111685,DCE,m1709,0,0.000,1,2707.000,2635.000,2623.00,840.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10111687,DCE,m1709,0,0.000,5,2707.000,2635.000,2623.00,4200.00,600.00,Spec,9180.50,10,99918803,2017,09,
26/5/2017,10111731,DCE,m1709,0,0.000,1,2707.000,2635.000,2623.00,840.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10112831,DCE,m1709,0,0.000,25,2705.000,2635.000,2623.00,20500.00,3000.00,Spec,45902.50,10,99918803,2017,09,
26/5/2017,10112832,DCE,m1709,0,0.000,1,2705.000,2635.000,2623.00,820.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10112833,DCE,m1709,0,0.000,50,2705.000,2635.000,2623.00,41000.00,6000.00,Spec,91805.00,10,99918803,2017,09,
